公金支出情報（令和　７年　６月分）,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
局名,部名,課名,支払日,会計名,款名,項名,目名,節・細節名,支払内容（件名）,支払額（円）
政策企画局,戦略広報部,戦略広報課,令和7年6月10日,一般会計,総務費,政策企画費,広報広聴費,需用費　一般需用費,複数少額支払に係る資金前渡（一般需用費：６月分）,"45,915"
政策企画局,戦略広報部,戦略広報課,令和7年6月10日,一般会計,総務費,政策企画費,広報広聴費,役務費,複数少額支払に係る資金前渡（役務費：６月分）,"37,280"
政策企画局,戦略広報部,戦略広報課,令和7年6月10日,一般会計,総務費,政策企画費,広報広聴費,使用料及賃借料,複数少額支払に係る資金前渡（使用賃：６月分）,"2,180"
政策企画局,戦略広報部,戦略広報課,令和7年6月11日,一般会計,総務費,政策企画費,広報広聴費,使用料及賃借料,都政記録写真管理システム用パソコンの賃借,"8,690"
政策企画局,戦略広報部,戦略広報課,令和7年6月11日,一般会計,総務費,政策企画費,広報広聴費,委託料,令和７年度都政記録写真WEB検索システム業務委託,"226,600"
政策企画局,戦略広報部,戦略広報課,令和7年6月11日,一般会計,総務費,政策企画費,広報広聴費,役務費,令和7年度固定IPアドレスの利用契約に係る支出,"10,780"
政策企画局,戦略広報部,戦略広報課,令和7年6月11日,一般会計,総務費,政策企画費,広報広聴費,報償費,令和７年度公式LINEスタンプに係る学識経験者意見聴取,"12,302"
政策企画局,戦略広報部,戦略広報課,令和7年6月11日,一般会計,総務費,政策企画費,広報広聴費,報償費,令和7年度公式LINEスタンプに係る学識経験者意見聴取,"12,302"
政策企画局,戦略広報部,戦略広報課,令和7年6月13日,一般会計,総務費,政策企画費,広報広聴費,委託料,戦略広報案件管理システムライセンス提供・運用保守等,"641,300"
政策企画局,戦略広報部,戦略広報課,令和7年6月13日,一般会計,総務費,政策企画費,広報広聴費,委託料,R7都庁総合HP英語版の移行等委託の支出(5月分),"7,723,430"
政策企画局,戦略広報部,戦略広報課,令和7年6月13日,一般会計,総務費,政策企画費,広報広聴費,委託料,7年度広報東京都レイアウト、イラスト等委託(4月分）,"5,988,400"
政策企画局,戦略広報部,戦略広報課,令和7年6月17日,一般会計,総務費,政策企画費,広報広聴費,使用料及賃借料,都庁総合ホームページ管理用サーバ機器等の借入れ,"47,850"
政策企画局,戦略広報部,戦略広報課,令和7年6月17日,一般会計,総務費,政策企画費,広報広聴費,委託料,広報東京都音声版の製作・配布委託（単価契約）４月分,"971,493"
政策企画局,戦略広報部,戦略広報課,令和7年6月18日,一般会計,総務費,政策企画費,広報広聴費,使用料及賃借料,「東京動画」更新用機材の賃借（長期継続契約）,"21,417"
政策企画局,戦略広報部,戦略広報課,令和7年6月18日,一般会計,総務費,政策企画費,広報広聴費,委託料,令和7年度「WEB広報東京都」の保守・運用委託　4月分,"1,353,000"
政策企画局,戦略広報部,戦略広報課,令和7年6月18日,一般会計,総務費,政策企画費,広報広聴費,使用料及賃借料,デスクトップパソコン外の賃借（長期継続契約）,"27,500"
政策企画局,戦略広報部,戦略広報課,令和7年6月18日,一般会計,総務費,政策企画費,広報広聴費,役務費,Ｒ７ＣＨＴＶ業務用プロバイダ契約に伴う支出,"1,100"
政策企画局,戦略広報部,戦略広報課,令和7年6月18日,一般会計,総務費,政策企画費,広報広聴費,委託料,令和７年度「広報東京都」電子チラシの配信及び掲載,"55,000"
政策企画局,戦略広報部,戦略広報課,令和7年6月19日,一般会計,総務費,政策企画費,広報広聴費,役務費,R7ﾃﾚﾋﾞﾗｼﾞｵ視聴率聴取率資料購入･集計ｻｰﾋﾞｽ利用 5月分,"209,000"
政策企画局,戦略広報部,戦略広報課,令和7年6月19日,一般会計,総務費,政策企画費,広報広聴費,使用料及賃借料,令和７年度都庁総合HPアーカイブ動画配信保守委託,"110,000"
政策企画局,戦略広報部,戦略広報課,令和7年6月19日,一般会計,総務費,政策企画費,広報広聴費,需用費　一般需用費,令和7年度「広報東京都」上半期分の印刷(4月分),"9,636,000"
政策企画局,戦略広報部,戦略広報課,令和7年6月19日,一般会計,総務費,政策企画費,広報広聴費,需用費　一般需用費,令和7年度「広報東京都」上半期分の印刷(5月分）,"9,636,000"
政策企画局,戦略広報部,戦略広報課,令和7年6月19日,一般会計,総務費,政策企画費,広報広聴費,役務費,令和７年度海外報道ニュースの視聴に係る支出(５月分),"660,330"
政策企画局,戦略広報部,戦略広報課,令和7年6月20日,一般会計,総務費,政策企画費,広報広聴費,委託料,令和７年度広報東京都点字版の製作・配布委託（単契）,"1,195,011"
政策企画局,戦略広報部,戦略広報課,令和7年6月23日,一般会計,総務費,政策企画費,広報広聴費,使用料及賃借料,令和７年度「東京動画」制作用機材の賃借,"39,820"
政策企画局,戦略広報部,戦略広報課,令和7年6月23日,一般会計,総務費,政策企画費,広報広聴費,委託料,広報東京都こども版作成・編集、WEBサイト運営等委託,"5,459,300"
政策企画局,戦略広報部,戦略広報課,令和7年6月24日,一般会計,総務費,政策企画費,広報広聴費,役務費,R7上都提供番組「東京ｲﾝﾌｫﾒｰｼｮﾝ」の制作・放送委託5月,"7,614,476"
政策企画局,戦略広報部,戦略広報課,令和7年6月24日,一般会計,総務費,政策企画費,広報広聴費,委託料,R7上都提供番組「東京ｲﾝﾌｫﾒｰｼｮﾝ」の制作・放送委託5月,"326,700"
政策企画局,戦略広報部,戦略広報課,令和7年6月24日,一般会計,総務費,政策企画費,広報広聴費,使用料及賃借料,令和７年度プロンプター機材の賃借（長期継続契約）,"151,910"
政策企画局,戦略広報部,戦略広報課,令和7年6月24日,一般会計,総務費,政策企画費,広報広聴費,使用料及賃借料,ＣＨＴＶ映像スタジオ設備の借入れ（再リース）（R7）,"322,278"
政策企画局,戦略広報部,戦略広報課,令和7年6月24日,一般会計,総務費,政策企画費,広報広聴費,委託料,戦略広報案件管理システムライセンス提供・運用保守等,"641,300"
政策企画局,戦略広報部,戦略広報課,令和7年6月25日,一般会計,総務費,政策企画費,広報広聴費,使用料及賃借料,令和７年度都庁総合HPアーカイブ動画配信保守委託,"110,000"
政策企画局,戦略広報部,戦略広報課,令和7年6月25日,一般会計,総務費,政策企画費,広報広聴費,役務費,R7会見等に係る動画字幕修正等業務委託経費支出,"165,000"
政策企画局,戦略広報部,戦略広報課,令和7年6月25日,一般会計,総務費,政策企画費,広報広聴費,役務費,令和７年度都庁総合HP運営用プロバイダ契約,770
政策企画局,戦略広報部,戦略広報課,令和7年6月25日,一般会計,総務費,政策企画費,広報広聴費,役務費,６月分  公共料金支払,"7,681"
政策企画局,戦略広報部,戦略広報課,令和7年6月25日,一般会計,総務費,政策企画費,広報広聴費,役務費,６月分  公共料金支払,"3,633"
政策企画局,戦略広報部,戦略広報課,令和7年6月26日,一般会計,福祉費,福祉管理費,管理費,委託料,令和７年度　統合ＣＭＳの運用等に係る業務委託,"165,000"
政策企画局,戦略広報部,戦略広報課,令和7年6月26日,一般会計,総務費,政策企画費,広報広聴費,委託料,令和７年度　統合ＣＭＳの運用等に係る業務委託,"59,747,041"
政策企画局,戦略広報部,戦略広報課,令和7年6月27日,一般会計,総務費,政策企画費,広報広聴費,役務費,R7「広報東京都」郵便局掲出（単契）(5月分）,"910,910"
政策企画局,戦略広報部,戦略広報課,令和7年6月30日,一般会計,総務費,政策企画費,広報広聴費,役務費,R7「広報東京都」上半期配布委託（4月分5月号）,"18,407,439"
政策企画局,戦略広報部,戦略広報課,令和7年6月30日,一般会計,総務費,政策企画費,広報広聴費,役務費,R7「広報東京都」上半期配布委託(5月分6月号）,"18,407,437"
政策企画局,戦略広報部,戦略広報課,令和7年6月30日,一般会計,総務費,政策企画費,広報広聴費,役務費,６月分  公共料金支払,"12,870"
政策企画局,戦略広報部,戦略広報課,令和7年6月30日,一般会計,総務費,政策企画費,広報広聴費,役務費,６月分  公共料金支払,"5,940"
政策企画局,戦略広報部,戦略広報課,令和7年6月30日,一般会計,総務費,政策企画費,広報広聴費,役務費,６月分  公共料金支払,"5,940"
政策企画局,戦略広報部,戦略広報課,令和7年6月30日,一般会計,総務費,政策企画費,広報広聴費,役務費,６月分  公共料金支払,"10,302"
政策企画局,戦略広報部,報道課,令和7年6月2日,一般会計,総務費,政策企画費,広報広聴費,役務費,記者会見室の光回線利用料金（プロバイダ）,"1,540"
政策企画局,戦略広報部,報道課,令和7年6月3日,一般会計,総務費,政策企画費,広報広聴費,需用費　一般需用費,日刊紙の購読,"107,310"
政策企画局,戦略広報部,報道課,令和7年6月9日,一般会計,総務費,政策企画費,広報広聴費,役務費,記者会見室の光回線利用（令和７年度）,"13,750"
政策企画局,戦略広報部,報道課,令和7年6月9日,一般会計,総務費,政策企画費,広報広聴費,役務費,光回線利用（令和７年度）の支出,"10,450"
政策企画局,戦略広報部,報道課,令和7年6月11日,一般会計,総務費,政策企画費,広報広聴費,役務費,時事ゼネラルニュースの受信（令和７年度）の支出,"803,000"
