公金支出情報（令和　７年　４月分）,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
局名,部名,課名,支払日,会計名,款名,項名,目名,節・細節名,支払内容（件名）,支払額（円）
総務局,総務部,企画計理課,令和07年04月11日,一般会計,学務費,東京都公立大学法人支援費,東京都公立大学法人支援費,負担金補助及交付金,東京都公立大学法人運営費交付金の支出(第1四半期),"80,342,000 "
総務局,総務部,企画計理課,令和07年04月11日,一般会計,学務費,東京都公立大学法人支援費,東京都公立大学法人支援費,負担金補助及交付金,東京都公立大学法人運営費交付金の支出(第1四半期),"603,832,000 "
総務局,総務部,企画計理課,令和07年04月11日,一般会計,学務費,東京都公立大学法人支援費,東京都公立大学法人支援費,負担金補助及交付金,東京都公立大学法人運営費交付金の支出(第1四半期),"1,966,578,000 "
総務局,総務部,企画計理課,令和07年04月18日,一般会計,総務費,総務管理費,総務管理費,需用費　一般需用費,複数の少額支払案件に係る資金前渡について(4月),"200,000 "
総務局,総務部,企画計理課,令和07年04月18日,一般会計,総務費,総務管理費,総務管理費,役務費,複数の少額支払案件に係る資金前渡について(4月),"50,000 "
総務局,総務部,企画計理課,令和07年04月18日,一般会計,総務費,総務管理費,総務管理費,使用料及賃借料,複数の少額支払案件に係る資金前渡について(4月),"50,000 "
総務局,総務部,文書課,令和07年04月18日,一般会計,総務費,総務管理費,総務管理費,需用費　一般需用費,少額支払案件に係る資金前渡（４月分）,"200,000 "
総務局,総務部,文書課,令和07年04月18日,一般会計,総務費,総務管理費,総務管理費,役務費,少額支払案件に係る資金前渡（４月分）,"5,000 "
総務局,総務部,法務課,令和07年04月11日,一般会計,総務費,総務管理費,総務管理費,需用費　一般需用費,複数の少額支払案件に係る資金前渡（一需４月分）,"200,000 "
総務局,総務部,法務課,令和07年04月11日,一般会計,総務費,総務管理費,総務管理費,役務費,複数の少額支払案件に係る資金前渡（役務４月分）,"100,000 "
総務局,総務部,総務課,令和07年04月10日,一般会計,総務費,総務管理費,総務管理費,需用費　一般需用費,複数の少額支払案件に係る資金前渡について（４月分）,"100,000 "
総務局,総務部,総務課,令和07年04月10日,一般会計,総務費,総務管理費,総務管理費,需用費　一般需用費,複数の少額支払案件に係る資金前渡について（４月分）,"50,000 "
総務局,総務部,総務課,令和07年04月10日,一般会計,総務費,総務管理費,総務管理費,役務費,複数の少額支払案件に係る資金前渡について（４月分）,"130,000 "
総務局,総務部,総務課,令和07年04月10日,一般会計,総務費,総務管理費,総務管理費,使用料及賃借料,複数の少額支払案件に係る資金前渡について（４月分）,"20,000 "
総務局,総務部,総務課,令和07年04月30日,一般会計,総務費,総務管理費,総務管理費,負担金補助及交付金,令和７年度業務経理負担金（第1期）の支出,"134,984,000 "
総務局,総務部,グループ経営戦略課,令和07年04月17日,一般会計,総務費,総務管理費,総務管理費,需用費　一般需用費,複数少額支払案件に係る資金の前渡（令和７年４月分）,"150,000 "
総務局,総務部,グループ経営戦略課,令和07年04月17日,一般会計,総務費,総務管理費,総務管理費,役務費,複数少額支払案件に係る資金の前渡（令和７年４月分）,"150,000 "
総務局,総務部,グループ経営戦略課,令和07年04月30日,一般会計,総務費,総務管理費,総務管理費,使用料及賃借料,Backlog 及びNulab Pass 利用料（R７.４～６）の支出,"152,212 "
総務局,総務部,情報公開課,令和07年04月18日,一般会計,総務費,総務管理費,総務管理費,需用費　一般需用費,「少額支払案件に係る前渡金」の支出（４月分）,"140,000 "
総務局,総務部,情報公開課,令和07年04月18日,一般会計,総務費,総務管理費,総務管理費,役務費,「少額支払案件に係る前渡金」の支出（４月分）,"30,000 "
総務局,人事部,人事課,令和07年04月01日,一般会計,総務費,総務管理費,総務管理費,使用料及賃借料,R7入都式に係る駐車場利用料金の納付,"31,500 "
