年度,所管局№,所管局,施策分野№,施策分野,事業名,補助金名,補助金の概要,補助対象者№,補助対象者,予算額（千円）,所管部署,問い合わせ先,各局HPリンク
2025,10,都市整備局,14,都市の整備,総合治水対策事業,流域対策強化・推進補助事業（機運醸成に資する取組）,"補助金の目的　：総合的な治水対策
補助対象者　　：全市区町村（島しょを除く）
補助対象経費　：機運醸成に資する取組
負担割合　　　　：予算の範囲内で豪雨対策に資する広報活動、出前講座、防災学習等の機運醸成に資する費用等の２分の１（１区市町村当たり上限500万円）",1 ,区市町村,"19,300",都市整備局都市基盤部調整課,03-5388-3386,
2025,10,都市整備局,14,都市の整備,総合治水対策事業,流域対策強化・推進補助事業（区市町村が提案する先進的な取組）,"補助金の目的　：総合的な治水対策
補助対象者　　：全市区町村（島しょを除く）
補助対象経費　：区市町村が提案する先進的な取組
負担割合　　　　：予算の範囲内で、区市町村が提案する豪雨対策に資する先駆的な取組で都が認めた事業に係る経費の１０分の１０（１区市町村当たり上限1,000万円）",1 ,区市町村,"20,000",都市整備局都市基盤部調整課,03-5388-3386,
2025,10,都市整備局,14,都市の整備,施設計画に関する調査,東京都舟運活性化事業費補助金（船舶補助）,"補助金の目的：舟運を活用した交通ネットワークの確保
補助対象者　：舟運事業者等
補助対象経費：船体や運航設備の導入・改良等の実施に要する経費
負担割合　　：都1/2",5 ,民間団体,"325,000",都市整備局都市基盤部交通企画課,03-5388-3396 ,https://www.toshiseibi.metro.tokyo.lg.jp/bunyabetsu/kotsu_butsuryu/syuun_kasseika.html
2025,10,都市整備局,14,都市の整備,施設計画に関する調査,東京都舟運活性化事業費補助金（運航補助）,"補助金の目的：舟運を活用した交通ネットワークの確保
補助対象者　：舟運事業者等
補助対象経費：運航の実施に要する経費
負担割合　　：都1/2",5 ,民間団体,"50,400",都市整備局都市基盤部交通企画課,03-5388-3396 ,https://www.toshiseibi.metro.tokyo.lg.jp/bunyabetsu/kotsu_butsuryu/syuun_kasseika.html
2025,10,都市整備局,14,都市の整備,施設計画に関する調査,東京都舟運活性化事業費補助金（船着場予約システム）,"補助金の目的：船着場管理をデジタル化するための初期費用を支援
補助対象者　：船着場管理者等
補助対象経費：システムの導入の実施に要する費用
負担割合　　：都1/2",7 ,その他団体,500,都市整備局都市基盤部交通企画課,03-5388-3396 ,https://www.toshiseibi.metro.tokyo.lg.jp/bunyabetsu/kotsu_butsuryu/syuun_kasseika.html
2025,10,都市整備局,14,都市の整備,施設計画に関する調査,自動運転サービスの実装（定常運行）に関する補助,"補助金の目的：自動運転サービス導入の促進
補助対象者　：区市町村及び交通事業者
補助対象経費：自動運転サービス導入に係る費用
負担割合　　：都１（上限月500万円）",7 ,その他団体,"126,000",都市整備局都市基盤部交通企画課,03-5388-3385 ,
2025,10,都市整備局,14,都市の整備,施設計画に関する調査,自動運転の実装に向けた社会受容性向上支援事業補助金,"補助金の目的：東京における自動運転レベル４等の先進モビリティサービスを実現・普及させ、都内産業の活性化及び東京のプレゼンス向上を図る
補助事業：自動運転、自動運転化技術などが都民等の理解を得て受け入れられることを目的とした事業（その他要件有）
補助対象経費：会場費、設営・撤去費、人件費、広報費、物品購入費、委託費、リース費等、国や地方自治体からの補助金・助成金若しくは交付金を充当していない経費（その他要件有）
補助限度額：10,000千円
負担割合：
・推進区域内　
　中小企業者であって大企業が実質的に経営に参画していない者10/10
　中小企業者でない場合 2/3
・推進区域外
　中小企業者であって大企業が実質的に経営に参画していない者2/3
　中小企業者でない場合 1/2",5 ,民間団体,"50,000",都市整備局都市基盤部交通企画課,03-5388-3385 ,
2025,10,都市整備局,14,都市の整備,都市高速鉄道建設助成,地下高速鉄道建設助成（東京都交通局）,"補助金の目的：都における地下高速鉄道の建設促進を図るため、東京都交通局及び東京地下鉄㈱が施行する、地下高速鉄道の新線建設、耐震補強及び大規模改良、浸水対策に対して建設費の助成を行う。
補助対象者　：東京都交通局
補助対象事業：新線建設並びに営業開始後の耐震補強、浸水対策及び大規模改良を目的とした事業
負担割合　　：国63/250、都70/250、事業者117/250
補助対象建設費×（１－自己資金調達可能率（20％））×35％（都負担分）
※国はさらに１割減",4 ,公営企業,"2,118,261",都市整備局都市基盤部調整課,03-5388-3275,https://www.toshiseibi.metro.tokyo.lg.jp/jouhou/hojyoshisyutsu_r2_02.html
2025,10,都市整備局,14,都市の整備,都市高速鉄道建設助成,地下高速鉄道建設助成（東京地下鉄（株））,"補助金の目的：都における地下高速鉄道の建設促進を図るため、東京都交通局及び東京地下鉄㈱が施行する、地下高速鉄道の新線建設、耐震補強及び大規模改良、浸水対策に対して建設費の助成を行う。
補助対象者　：東京地下鉄株式会社
補助対象事業：新線建設並びに営業開始後の耐震補強、浸水対策及び大規模改良を目的とした事業
負担割合　　：国63/250、都70/250、事業者117/250
補助対象建設費×（１－自己資金調達可能率（20％））×35％（都負担分）
※国はさらに１割減",5 ,民間団体,"4,342,276",都市整備局都市基盤部調整課,03-5388-3275,https://www.toshiseibi.metro.tokyo.lg.jp/jouhou/hojyoshisyutsu_r2_02.html
2025,10,都市整備局,14,都市の整備,バス事業助成,地方バス路線維持助成,"補助金の目的：過疎現象等による輸送人員の減少のため、地域住民の生活の必要なバス路線の維持が困難となっている路線に対し、生活交通路線の確保対策の一環として、広域的・幹線的なバス路線の運航を維持するために助成するものであり、もって地域住民の福祉を確保することを目的とする。
補助対象者　：乗合バス事業者
補助対象事業：地域間幹線系統確保維持協議会において、地域住民の生活に必要な旅客自動車運送の確保のために、維持・確保が必要と認められ、 東京都知事が指定し、かつ、次に掲げる 全て の要件を満たすものについて、補助を行う。
〇複数市町村にまたがるもの
〇キロ程が１０キロメートル以上のもの
〇１日当たりの輸送量が１５人から１５０人のもの
〇１日当たりの運行回数が３回以上のもの
〇西多摩地域広域行政圏に位置する市町村で生活基盤が整備されていると協議会が認めたもの
〇経常収益が経常費用の２０分の１１以上の路線又は２０分の１１に満たない路線で市町村が補助することにより２０分の１１に達するもの（補助は経常費用の２０分の９を限度とする）
負担割合　　：補助対象経費の２分の１",5 ,民間団体,"68,887",都市整備局都市基盤部調整課,03-5388-3275,https://www.toshiseibi.metro.tokyo.lg.jp/jouhou/hojyoshisyutsu_r2_02.html
2025,10,都市整備局,14,都市の整備,バス事業助成,だれにも乗り降りしやすいバス整備事業,"補助金の目的：路線バスに高齢者や障害者をはじめ、だれにも乗り降りしやすいバスを整備する事業に対して、予算の範囲内においてその購入経費の一部を補助することにより、同バスの導入を誘導し、普及させることを目的とする。
補助対象者　：民営バス事業者
補助対象経費：ノンステップバス購入経費と通常車両価格との差額
負担割合　　：国1/2、都1/4以内（1台当たり補助限度額700千円）、事業者1/4以上",5 ,民間団体,"10,500",都市整備局都市基盤部調整課,03-5388-3276,https://www.toshiseibi.metro.tokyo.lg.jp/jouhou/hojyoshisyutsu_r2_02.html
2025,10,都市整備局,14,都市の整備,運輸事業振興助成交付金,運輸事業振興助成交付金（東京都交通局）,"補助金の目的：東京の交通問題の解決に資し、都民の利便性及び安全性の向上を図るために、公共輸送機関としてのバス及びトラック事業の整備改善を実施することを目的とする。
補助対象者　：バス事業　（一社）東京バス協会、東京都交通局、八丈町、三宅村　、　トラック事業　（一社）東京都トラック協会
補助対象事業：１　軽油を燃料とする自動車を用いて行われる運輸事業（以下「特定運輸事業」という。）を営む者が行う旅客又は貨物の輸送の安全の確保に関する事業
　２　特定運輸事業に係るサービスの改善及び向上に関する事業
　３　特定運輸事業に係る公害の防止、地球温暖化の防止その他の環境の保全に関する事業
　４　特定運輸事業の適正化に関する事業
　５　特定運輸事業を営む者の共同利用に供する施設の設置又は運営に関する事業
　６　特定運輸事業を営む者が震災その他の災害に際し必要な物資を運送するための体制の整備に関する事業
　７　特定運輸事業を営む者の経営の安定化に寄与する事業（当該事業に要する費用に充てるための基金を設けて行われるものに限る。）
　８　全国を単位とする一般社団法人（一般社団法人及び一般財団法人に関する法律及び公益社団法人及び公益財団法人の認定等に関する法律の施行に伴う関係法律の整備等に関する法律（平成１８年法律第５０号）第３８条の規定による改正前の民法（明治２９年法律第８９号）第３４条の規定により設立された社団法人であったものに限る。）であって、１から７までに掲げる事業を行うものに対し、当該事業に要する資金の出えんを行う事業（当該一般社団法人が当該出えんを行う者を社員とする場合に限る。）
　９　１から８までに掲げるもののほか、特定運輸事業の振興に資する事業で国土交通大臣が総務大臣に協議して定めるもの
負担割合　　：交付金の額は、次の算式により算定した額を限度とする。
Ａ×Ｂ×Ｃ×Ｄ×（１－０．０７（徴税費率））
Ａ：当該年度の軽油引取税収入見込額
Ｂ：自動車に係る軽油使用量の課税対象総軽油引取量に対する割合
Ｃ：交付対象者に係る交付割合
  　  ｅ／（ａ＋ｂ＋ｃ＋ｄ）     　  
　　ａ：営業用バスの標準軽油使用量×営業用バスの登録台数
　　ｂ：営業用トラックの標準軽油使用量×営業用トラックの登録台数
　　ｃ：自家用バスの標準軽油使用量×自家用バスの登録台数
　　ｄ：自家用トラックの標準軽油使用量×自家用トラックの登録台数
　　ｅ：営業用バス又は営業用トラックの標準軽油使用量×交付対象者に係る営業用バス又は営業用トラックの登録台数
Ｄ：運輸事業の振興の助成に関する法律施行規則（平成２３年９月２６日総務省、国土交通省令第１号）第２条に基づき総務大臣が定めるもの",4 ,公営企業,"12,417",都市整備局都市基盤部調整課,03-5388-3278,https://www.toshiseibi.metro.tokyo.lg.jp/jouhou/hojyoshisyutsu_r2_02.html
2025,10,都市整備局,14,都市の整備,運輸事業振興助成交付金,運輸事業振興助成交付金（八丈町、三宅村）,"補助金の目的：東京の交通問題の解決に資し、都民の利便性及び安全性の向上を図るために、公共輸送機関としてのバス及びトラック事業の整備改善を実施することを目的とする。
補助対象者　：バス事業　（一社）東京バス協会、東京都交通局、八丈町、三宅村　、　トラック事業　（一社）東京都トラック協会
補助対象事業：１　軽油を燃料とする自動車を用いて行われる運輸事業（以下「特定運輸事業」という。）を営む者が行う旅客又は貨物の輸送の安全の確保に関する事業
　２　特定運輸事業に係るサービスの改善及び向上に関する事業
　３　特定運輸事業に係る公害の防止、地球温暖化の防止その他の環境の保全に関する事業
　４　特定運輸事業の適正化に関する事業
　５　特定運輸事業を営む者の共同利用に供する施設の設置又は運営に関する事業
　６　特定運輸事業を営む者が震災その他の災害に際し必要な物資を運送するための体制の整備に関する事業
　７　特定運輸事業を営む者の経営の安定化に寄与する事業（当該事業に要する費用に充てるための基金を設けて行われるものに限る。）
　８　全国を単位とする一般社団法人（一般社団法人及び一般財団法人に関する法律及び公益社団法人及び公益財団法人の認定等に関する法律の施行に伴う関係法律の整備等に関する法律（平成１８年法律第５０号）第３８条の規定による改正前の民法（明治２９年法律第８９号）第３４条の規定により設立された社団法人であったものに限る。）であって、１から７までに掲げる事業を行うものに対し、当該事業に要する資金の出えんを行う事業（当該一般社団法人が当該出えんを行う者を社員とする場合に限る。）
　９　１から８までに掲げるもののほか、特定運輸事業の振興に資する事業で国土交通大臣が総務大臣に協議して定めるもの
負担割合　　：交付金の額は、次の算式により算定した額を限度とする。
Ａ×Ｂ×Ｃ×Ｄ×（１－０．０７（徴税費率））
Ａ：当該年度の軽油引取税収入見込額
Ｂ：自動車に係る軽油使用量の課税対象総軽油引取量に対する割合
Ｃ：交付対象者に係る交付割合
  　  ｅ／（ａ＋ｂ＋ｃ＋ｄ）     　  
　　ａ：営業用バスの標準軽油使用量×営業用バスの登録台数
　　ｂ：営業用トラックの標準軽油使用量×営業用トラックの登録台数
　　ｃ：自家用バスの標準軽油使用量×自家用バスの登録台数
　　ｄ：自家用トラックの標準軽油使用量×自家用トラックの登録台数
　　ｅ：営業用バス又は営業用トラックの標準軽油使用量×交付対象者に係る営業用バス又は営業用トラックの登録台数
Ｄ：運輸事業の振興の助成に関する法律施行規則（平成２３年９月２６日総務省、国土交通省令第１号）第２条に基づき総務大臣が定めるもの",1 ,区市町村,200,都市整備局都市基盤部調整課,03-5388-3279,https://www.toshiseibi.metro.tokyo.lg.jp/jouhou/hojyoshisyutsu_r2_02.html
2025,10,都市整備局,14,都市の整備,運輸事業振興助成交付金,運輸事業振興助成交付金（（一社）東京バス協会、（一社）東京都トラック協会）,"補助金の目的：東京の交通問題の解決に資し、都民の利便性及び安全性の向上を図るために、公共輸送機関としてのバス及びトラック事業の整備改善を実施することを目的とする。
補助対象者　：バス事業　（一社）東京バス協会、東京都交通局、八丈町、三宅村　、　トラック事業　（一社）東京都トラック協会
補助対象事業：１　軽油を燃料とする自動車を用いて行われる運輸事業（以下「特定運輸事業」という。）を営む者が行う旅客又は貨物の輸送の安全の確保に関する事業
　２　特定運輸事業に係るサービスの改善及び向上に関する事業
　３　特定運輸事業に係る公害の防止、地球温暖化の防止その他の環境の保全に関する事業
　４　特定運輸事業の適正化に関する事業
　５　特定運輸事業を営む者の共同利用に供する施設の設置又は運営に関する事業
　６　特定運輸事業を営む者が震災その他の災害に際し必要な物資を運送するための体制の整備に関する事業
　７　特定運輸事業を営む者の経営の安定化に寄与する事業（当該事業に要する費用に充てるための基金を設けて行われるものに限る。）
　８　全国を単位とする一般社団法人（一般社団法人及び一般財団法人に関する法律及び公益社団法人及び公益財団法人の認定等に関する法律の施行に伴う関係法律の整備等に関する法律（平成１８年法律第５０号）第３８条の規定による改正前の民法（明治２９年法律第８９号）第３４条の規定により設立された社団法人であったものに限る。）であって、１から７までに掲げる事業を行うものに対し、当該事業に要する資金の出えんを行う事業（当該一般社団法人が当該出えんを行う者を社員とする場合に限る。）
　９　１から８までに掲げるもののほか、特定運輸事業の振興に資する事業で国土交通大臣が総務大臣に協議して定めるもの
負担割合　　：交付金の額は、次の算式により算定した額を限度とする。
Ａ×Ｂ×Ｃ×Ｄ×（１－０．０７（徴税費率））
Ａ：当該年度の軽油引取税収入見込額
Ｂ：自動車に係る軽油使用量の課税対象総軽油引取量に対する割合
Ｃ：交付対象者に係る交付割合
  　  ｅ／（ａ＋ｂ＋ｃ＋ｄ）     　  
　　ａ：営業用バスの標準軽油使用量×営業用バスの登録台数
　　ｂ：営業用トラックの標準軽油使用量×営業用トラックの登録台数
　　ｃ：自家用バスの標準軽油使用量×自家用バスの登録台数
　　ｄ：自家用トラックの標準軽油使用量×自家用トラックの登録台数
　　ｅ：営業用バス又は営業用トラックの標準軽油使用量×交付対象者に係る営業用バス又は営業用トラックの登録台数
Ｄ：運輸事業の振興の助成に関する法律施行規則（平成２３年９月２６日総務省、国土交通省令第１号）第２条に基づき総務大臣が定めるもの",5 ,民間団体,"954,934",都市整備局都市基盤部調整課,03-5388-3280,https://www.toshiseibi.metro.tokyo.lg.jp/jouhou/hojyoshisyutsu_r2_02.html
2025,10,都市整備局,14,都市の整備,鉄道施設安全対策事業,東京都鉄道施設安全対策事業費補助金（鉄道施設耐震対策事業）,"補助金の目的：鉄道施設の耐震化を促進し、鉄道利用者の安全確保等を図る
補助対象者　：鉄道事業者又は軌道経営者（JR東日本及び地下高速鉄道事業者を除く。）
補助対象経費：鉄道施設の耐震補強に要する経費のうち、本工事費及び附帯工事費（移転補償費を除く）
負担割合　　：国1/3以内、都1/3以内、事業者1/3以上",5 ,民間団体,"614,265",都市整備局都市基盤部交通企画課,03-5388-3321,https://www.toshiseibi.metro.tokyo.lg.jp/kenchiku/ansen.html
2025,10,都市整備局,14,都市の整備,鉄道施設安全対策事業,東京都鉄道施設安全対策事業費補助金（地下駅等浸水対策事業）,"補助金の目的：鉄道施設の浸水対策を促進し、鉄道利用者の安全確保等を図る
補助対象者　：鉄道事業者又は軌道経営者（JR東日本及び地下高速鉄道事業者を除く。）
補助対象経費：鉄道施設の浸水対策に要する経費のうち、本工事費及び附帯工事費（移転補償費を除く）
負担割合　　：国１／３以内、都１／３以内、事業者１／３以上",5 ,民間団体,"126,333",都市整備局都市基盤部交通企画課,03-5388-3321,https://www.toshiseibi.metro.tokyo.lg.jp/kenchiku/ansen.html
2025,10,都市整備局,14,都市の整備,都市再生交通拠点整備事業,東京都都市再生交通拠点整備事業費補助金,"補助金の目的：公共的空間などを総合的に整備し、都市交通の円滑化を図るとともに、都市施設整備や土地利用の再編による都市再生を推進する。
補助対象者　：東日本旅客鉄道株式会社
補助対象経費：詳細設計、支障移転工事、本体工事
負担割合　　：国1/3、都1/3、事業者1/3",5 ,民間団体,"1,808,200",都市整備局都市基盤部街路計画課,03-5388-3292,https://www.toshiseibi.metro.tokyo.lg.jp/jouhou/hojyoshisyutsu_r1_02.html
2025,10,都市整備局,14,都市の整備,区施行連続立体交差事業費補助,区施行連続立体交差事業費補助（墨田区）,"補助金の目的：連立事業に係る経費の一部を補助することにより、事業の推進を図り、交通渋滞の解消、鉄道により分断されている地域の一体化等を図る
補助対象者　：墨田区
補助対象経費：補助対象事業費
負担割合　　：国11/20以内、都27/200以内、事業者63/200以上",1 ,区市町村,"662,850",都市整備局都市基盤部交通企画課,03-5388-3284,https://www.toshiseibi.metro.tokyo.lg.jp/jouhou/hojyoshisyutsu_r2_02.html
2025,10,都市整備局,14,都市の整備,鉄道駅総合バリアフリー推進事業,バリアフリー基本構想等作成事業補助,"補助金の目的：区市町村の計画策定促進を通じた都内のバリアフリー化
補助対象者　：区市町村
補助対象経費：バリアフリー基本構想及び移動等円滑化促進方針の策定経費
負担割合　　：国1/2、都1/4、区市町村1/4（国1/3、都1/3、区市町村1/3 社資交付金の場合）",1 ,区市町村,"22,990",都市整備局都市基盤部交通企画課,03-5388-3307,https://www.toshiseibi.metro.tokyo.lg.jp/bunyabetsu/machizukuri/bfree/tetsudo.html
2025,10,都市整備局,14,都市の整備,鉄道駅総合バリアフリー推進事業,ホームドア等整備促進事業費補助,"補助金の目的：鉄道駅等のバリアフリー化を推進するため
補助対象者　：区市町村
補助対象経費：鉄軌道駅におけるホームドア及び内方線付き点状ブロックの整備に関する経費
負担割合　　：国1/3、都1/6、区市町村1/6、鉄軌道事業者1/3",1 ,区市町村,"766,098",都市整備局都市基盤部交通企画課,03-5388-3307,https://www.toshiseibi.metro.tokyo.lg.jp/bunyabetsu/machizukuri/bfree/tetsudo.html
2025,10,都市整備局,14,都市の整備,鉄道駅総合バリアフリー推進事業,鉄道駅エレベーター等整備事業費補助,"補助金の目的：鉄道駅等のバリアフリー化を推進するため
補助対象者　：区市町村
補助対象経費：鉄軌道駅における垂直移動装置、障害者用誘導ブロック、スロープ及び手すり
の整備に関する経費
負担割合　　：国1/3、都1/6、区市町村1/6、鉄軌道事業者1/3",1 ,区市町村,"32,749",都市整備局都市基盤部交通企画課,03-5388-3307,https://www.toshiseibi.metro.tokyo.lg.jp/bunyabetsu/machizukuri/bfree/tetsudo.html
2025,10,都市整備局,14,都市の整備,鉄道駅総合バリアフリー推進事業,鉄道駅バリアフリートイレ等整備促進事業費補助,"補助金の目的：鉄道駅等のバリアフリー化を推進するため
補助対象者　：区市町村
補助対象経費：鉄軌道駅におけるバリアフリートイレの整備及び一般便房への機能分散整備に関する経費
負担割合　　：国1/3、都1/6、区市町村1/6、鉄軌道事業者1/3",1 ,区市町村,"6,548",都市整備局都市基盤部交通企画課,03-5388-3307,
2025,10,都市整備局,14,都市の整備,鉄道駅総合バリアフリー推進事業,ホームドア整備加速緊急対策事業,"補助金の目的：都内におけるＪＲ及び私鉄駅のホームドア整備を加速するため
補助対象者　：鉄道事業者
補助対象経費：鉄道駅におけるホームドアの整備に関する経費
負担割合　　：国1/3、都1/3、鉄道事業者1/3",5 ,民間団体,"640,000",都市整備局都市基盤部交通企画課,03-5388-3307,https://www.toshiseibi.metro.tokyo.lg.jp/bunyabetsu/machizukuri/bfree/tetsudo.html
2025,10,都市整備局,14,都市の整備,品川駅東西自由通路整備事業,東京都国際競争拠点都市整備事業費補助金,"補助金の目的：特定都市再生緊急整備地域において実施される、都市の国際競争力強化につながる都市開発事業に関連して必要となる公共公益施設の整備
補助対象者　：地方公共団体以外の施行者
補助対象経費：国際競争拠点都市整備事業計画に位置付けされた事業
負担割合　　：国1/3、都1/3、事業者1/3",5 ,民間団体,"59,580",都市整備局都市基盤部街路計画課,03-5388-3292,https://www.toshiseibi.metro.tokyo.lg.jp/jouhou/hojyoshisyutsu_r5_02.html
2025,10,都市整備局,14,都市の整備,京急品川駅総合改善事業,東京都鉄道駅総合改善事業費補助金（京急品川駅）,"補助金の目的：京急品川駅利用者の利便性、円滑性及び安全性の向上等を図る
補助対象者　：京浜急行電鉄株式会社
補助対象経費：京急品川駅総合改善事業に要する経費のうち、本工事費、附帯工事費及び用地費
負担割合　　：国1/3以内、都7/30以内、区市町村1/10以内、事業者1/3以上",5 ,民間団体,"98,000",都市整備局都市基盤部交通企画課,03-5388-3214,
2025,10,都市整備局,14,都市の整備,地域公共交通の充実・強化,"東京都持続可能な地域公共交通実現に向けた事業費補助金
(地域公共交通計画策定費)","補助金の目的：区市町村事業への支援による地域公共交通ネットワーク形成の促進
補助対象者　：区市町村
補助対象経費：地域公共交通計画策定に要する調査検討費
負担割合　　：都1/2、区市町村1/2",1 ,区市町村,"35,554",都市整備局都市基盤部交通企画課,03-5388-3307,https://www.toshiseibi.metro.tokyo.lg.jp/bunyabetsu/kotsu_butsuryu/chiiki_koutsu.html
2025,10,都市整備局,14,都市の整備,地域公共交通の充実・強化,"東京都持続可能な地域公共交通実現に向けた事業費補助金
(調査検討費)","補助金の目的：区市町村事業への支援による地域公共交通ネットワーク形成の促進
補助対象者　：区市町村
補助対象経費：現況交通実態調査、ニーズ把握調査、実施計画策定に要する調査検討費
負担割合　　：都1/2、区市町村1/2",1 ,区市町村,"28,459",都市整備局都市基盤部交通企画課,03-5388-3307,https://www.toshiseibi.metro.tokyo.lg.jp/bunyabetsu/kotsu_butsuryu/chiiki_koutsu.html
2025,10,都市整備局,14,都市の整備,地域公共交通の充実・強化,"東京都持続可能な地域公共交通実現に向けた事業費補助金
(車両購入費)","補助金の目的：区市町村事業への支援による地域公共交通ネットワーク形成の促進
補助対象者　：区市町村
補助対象経費：新規導入・再編に係る車両購入費
負担割合　　：都1/2、区市町村1/2",1 ,区市町村,"67,220",都市整備局都市基盤部交通企画課,03-5388-3307,https://www.toshiseibi.metro.tokyo.lg.jp/bunyabetsu/kotsu_butsuryu/chiiki_koutsu.html
2025,10,都市整備局,14,都市の整備,地域公共交通の充実・強化,"東京都持続可能な地域公共交通実現に向けた事業費補助金
（車両更新費)","補助金の目的：区市町村事業への支援による地域公共交通ネットワーク形成の促進
補助対象者　：区市町村
補助対象経費：ユニバーサルデザイン又は環境改善に資する車両等への更新費
負担割合　　：都1/2、区市町村1/2",1 ,区市町村,"153,388",都市整備局都市基盤部交通企画課,03-5388-3307,https://www.toshiseibi.metro.tokyo.lg.jp/bunyabetsu/kotsu_butsuryu/chiiki_koutsu.html
2025,10,都市整備局,14,都市の整備,地域公共交通の充実・強化,"東京都持続可能な地域公共交通実現に向けた事業費補助金
(実証運行経費)","補助金の目的：区市町村事業への支援による地域公共交通ネットワーク形成の促進
補助対象者　：区市町村
補助対象経費：実証運行実施に要する経費
負担割合　　：都1/2、区市町村1/2",1 ,区市町村,"124,916",都市整備局都市基盤部交通企画課,03-5388-3307,https://www.toshiseibi.metro.tokyo.lg.jp/bunyabetsu/kotsu_butsuryu/chiiki_koutsu.html
2025,10,都市整備局,14,都市の整備,地域公共交通の充実・強化,"東京都持続可能な地域公共交通実現に向けた事業費補助金
(本格運行経費)","補助金の目的：区市町村事業への支援による地域公共交通ネットワーク形成の促進
補助対象者　：区市町村
補助対象経費：本格運行実施に要する経費
負担割合　　：都1/2、区市町村1/2",1 ,区市町村,"86,885",都市整備局都市基盤部交通企画課,03-5388-3307,https://www.toshiseibi.metro.tokyo.lg.jp/bunyabetsu/kotsu_butsuryu/chiiki_koutsu.html
2025,10,都市整備局,14,都市の整備,地域公共交通の充実・強化,"
東京都持続可能な地域公共交通実現に向けた事業費補助金
(GTFS-JP整備費)","補助金の目的：区市町村事業への支援による地域公共交通ネットワーク形成の促進
補助対象者　：区市町村
補助対象経費：GTFS-JP整備に係る経費
負担割合　　：都1/2、区市町村1/2",1 ,区市町村,200,都市整備局都市基盤部交通企画課,03-5388-3307,https://www.toshiseibi.metro.tokyo.lg.jp/bunyabetsu/kotsu_butsuryu/chiiki_koutsu.html
2025,10,都市整備局,14,都市の整備,地下街等安全対策事業,東京都地下街安全対策事業費補助金,"補助金の目的：大規模地震発生時や浸水時における安心な避難空間の確保を図り、地下街の防災対策の推進を行うことで災害に強い都市を形成
補助対象者　：事業者
補助対象経費：地下街防災推進計画の策定や各種調査や事業
負担割合　　：都1/3、国1/3、事業者1/3",5 ,民間団体,"97,432",都市整備局都市基盤部調整課,03-5388-3386,
2025,10,都市整備局,14,都市の整備,京王線新宿駅総合改善事業,東京都鉄道駅総合改善事業費補助金（京王線新宿駅）,"補助金の目的：京王線新宿駅利用者の利便性、円滑性及び安全性の向上等を図る
補助対象者　：京王電鉄株式会社
補助対象経費：京王線新宿駅総合改善事業に要する経費のうち、本工事費、附帯工事費及び用地費
負担割合　　：国1/3以内、都7/30以内、区市町村1/10以内、事業者1/3以上",5 ,民間団体,"214,316",都市整備局都市基盤部交通企画課,03-5388-3321,
2025,10,都市整備局,14,都市の整備,鉄道駅ユニバーサルコミュニケーションシステム整備事業,鉄道駅ユニバーサルコミュニケーションシステム整備事業,"補助金の目的：鉄道駅のユニバーサルコミュニケーションの取組を推進するため
補助対象者　：都内に駅を有する鉄軌道事業者
補助対象経費：都内駅のユニバーサルコミュニケーションの取組促進に要する経費
負担割合　　：都2/3、事業者1/3",5 ,民間団体,"39,065",都市整備局都市基盤部交通企画課,03-5388-3307,
2025,10,都市整備局,14,都市の整備,東京都盛土対策補助事業,東京都盛土対策補助事業（危険度調査）【国庫補助対象・区市町村】,"補助金の目的：市街地の防災性の向上
補助対象者　：区市町村
補助対象経費：危険度調査
負担割合　　：国1/3、都1/2、区市町村1/6",1 ,区市町村,280,都市整備局市街地整備部区画整理課,03-5320-5132,
2025,10,都市整備局,14,都市の整備,東京都盛土対策補助事業,東京都盛土対策補助事業（危険度調査）【都単独事業・区市町村】,"補助金の目的：市街地の防災性の向上
補助対象者　：区市町村
補助対象経費：危険度調査
負担割合　　：都1/2、区市町村1/2",1 ,区市町村,280,都市整備局市街地整備部区画整理課,03-5320-5132,
2025,10,都市整備局,14,都市の整備,東京都盛土対策補助事業,東京都盛土対策補助事業（恒久対策工事）【都単独事業・区市町村】,"補助金の目的：市街地の防災性の向上
補助対象者　：区市町村
補助対象経費：恒久対策工事
負担割合　　：都1/3、区市町村2/3",1 ,区市町村,378,都市整備局市街地整備部区画整理課,03-5320-5132,
2025,10,都市整備局,14,都市の整備,東京都盛土対策補助事業,東京都盛土対策補助事業（応急対策工事）【国庫補助対象・区市町村】,"補助金の目的：市街地の防災性の向上
補助対象者　：区市町村
補助対象経費：応急対策工事
負担割合　　：国1/3、都1/3、区市町村1/3",1 ,区市町村,378,都市整備局市街地整備部区画整理課,03-5320-5132,
2025,10,都市整備局,14,都市の整備,東京都大規模盛土造成地対策補助事業,東京都大規模盛土造成地対策補助金,"補助金の目的：市街地の防災性の向上
補助対象者　：区市町村、土地所有者等
補助対象経費：対策工事（設計・工事）
負担割合　　：国1/4、都1/4、区市町村又は土地所有者等1/2",6 ,一般都民,"533,000",都市整備局市街地整備部区画整理課,03-5320-5132,
2025,10,都市整備局,14,都市の整備,防災密集地域再生促進事業（都市防災不燃化促進事業）,防災密集地域再生促進事業（都市防災不燃化促進事業）【調査費等】,"補助金の目的：避難路の周辺等における不燃空間を形成するための調査等
補助対象者　：区市
補助対象経費：調査費、推進調整費、計画作成費、広報活動費
負担割合　　：国1/3、都1/3、区市1/3",1 ,区市町村,"9,122",都市整備局市街地整備部防災都市づくり課,03-5320-5142,https://www.funenka.metro.tokyo.lg.jp/initiatives/urban-disaster-prevention/index.html
